"pAge","pGender","pIMDquintile","state","pCohort","pEducationalLevel","pSEP","pRegion","pSocialHousing","pMentalHealthCondition","pAlcoholConsumption","pNRTUse","pYearsSinceQuit","pExpenditure","pECigUse","pVareniclineUse","pCigConsumptionPrequit","cAge","oAge","mAge","mGender","oEducationalLevel","oSEP","oGeographicLocality","oSocialHousing","cMentalHealthConditions","cAlcoholConsumption","oAlcoholConsumption","cPrescriptionNRT","mUseOfNRT","cEcigaretteUse","cCigConsumptionPrequit","mSpendingOnCig","cVareniclineUse","cCigAddictStrength","mEnjoymentOfSmoking","cUseOfBehaviourSupport","mIntentionToQuit","mDesireToStopSmoking","mNumberOfRecentQuitAttempts","mSmokerIdentity"
20,2,2,"smoker",19,3,3,1,4,NA,11,NA,NA,12,2,2,15,20,20,20,2,3,3,1,4,NA,11,11,NA,NA,2,15,12,2,3,NA,"1",2,1,2,2
19,2,2,"never_smoker",19,3,3,1,4,NA,10,NA,NA,110,1,1,16,19,19,19,2,3,3,1,4,NA,10,10,NA,NA,1,16,110,1,5,NA,"1",1,1,5,2
20,1,2,"never_smoker",19,3,99,1,4,NA,9,NA,NA,10,1,2,10,20,20,20,1,3,99,1,4,NA,9,9,NA,NA,1,10,10,2,6,NA,"1",2,1,7,1
46,1,1,"never_smoker",13,1,1,1,2,NA,10,NA,NA,40,2,1,8,46,46,46,1,1,1,1,2,NA,10,10,NA,NA,2,8,40,1,2,NA,"0",2,2,0,2
47,1,1,"never_smoker",13,1,1,1,2,NA,10,NA,NA,35,1,2,100,47,47,47,1,1,1,1,2,NA,10,10,NA,NA,1,100,35,2,3,NA,"0",2,2,7,-1
45,1,1,"never_smoker",13,1,1,1,2,0,9,NA,NA,55,1,1,2,45,45,45,1,1,1,1,2,0,9,9,NA,NA,1,2,55,1,4,NA,"0",2,1,6,-1
41,2,1,"never_smoker",15,1,2,1,2,NA,5,NA,NA,7,1,2,1.42857142857143,41,41,41,2,1,2,1,2,NA,5,5,NA,NA,1,1,7,2,4,NA,"0",1,1,6,-1
24,1,1,"smoker",17,1,1,1,4,NA,8,NA,NA,-1,2,2,0.714285714285714,24,24,24,1,1,1,1,4,NA,8,8,NA,NA,2,0,-1,2,6,NA,"0",2,1,4,-1
21,1,1,"never_smoker",19,1,3,1,4,NA,6,NA,NA,57,1,1,7,21,21,21,1,1,3,1,4,NA,6,6,NA,NA,2,7,57,1,4,NA,"0",2,2,7,2
22,1,1,"never_smoker",18,3,3,1,4,NA,8,NA,NA,120,2,1,12,22,22,22,1,3,3,1,4,NA,8,8,NA,NA,1,12,120,1,1,NA,"0",1,1,52,2
79,1,1,"never_smoker",7,2,1,1,1,0,8,NA,NA,11,1,1,17,79,79,79,1,2,1,1,1,0,8,8,NA,NA,1,17,11,1,1,NA,"0",1,2,2,2
46,1,4,"never_smoker",13,1,2,9,2,NA,5,NA,NA,13,2,1,10,46,46,46,1,1,2,9,2,NA,5,5,NA,NA,1,10,13,1,3,NA,"1",2,2,9,-1
46,2,4,"never_smoker",13,1,2,9,2,NA,5,NA,NA,60,2,1,28.5714285714286,46,46,46,2,1,2,9,2,NA,5,5,NA,NA,1,28,60,1,1,NA,"0",1,2,3,2
18,1,4,"never_smoker",19,3,99,9,2,NA,5,NA,NA,26,2,1,13,18,18,18,1,3,99,9,2,NA,5,5,NA,NA,2,13,26,1,6,NA,"0",1,1,7,1
62,2,3,"never_smoker",10,7,99,9,1,0,NA,NA,NA,4,1,2,0.428571428571429,62,62,62,2,7,99,9,1,0,NA,NA,NA,NA,2,0,4,2,5,NA,"1",2,2,7,-1
54,2,4,"smoker",11,7,3,9,4,0,3,NA,NA,60,2,1,0.142857142857143,54,54,54,2,7,3,9,4,0,3,3,NA,NA,2,0,60,1,6,NA,"1",2,1,20,2
23,1,4,"never_smoker",17,5,3,9,4,0,5,NA,NA,105,1,2,3,23,23,23,1,5,3,9,4,0,5,5,NA,NA,2,3,105,2,2,NA,"1",2,2,6,2
50,1,3,"never_smoker",13,2,1,9,2,NA,7,NA,NA,200,1,1,15,50,50,50,1,2,1,9,2,NA,7,7,NA,NA,2,15,200,1,2,NA,"1",2,2,0,-1
22,1,4,"smoker",18,7,3,9,4,NA,NA,NA,NA,105,2,1,20,22,22,22,1,7,3,9,4,NA,NA,NA,NA,NA,1,20,105,1,2,NA,"0",1,2,7,1
25,2,4,"smoker",17,7,99,9,4,NA,NA,NA,NA,34,2,1,5,25,25,25,2,7,99,9,4,NA,NA,NA,NA,NA,1,5,34,1,5,NA,"1",1,2,7,1
71,2,3,"never_smoker",9,7,3,9,1,0,3,NA,NA,76,1,1,3,71,71,71,2,7,3,9,1,0,3,3,NA,NA,1,3,76,1,5,NA,"0",2,1,1,1
74,2,3,"never_smoker",7,7,3,9,1,0,5,NA,NA,32,1,1,2.28571428571429,74,74,74,2,7,3,9,1,0,5,5,NA,NA,2,2,32,1,5,NA,"0",1,1,0,1
84,2,3,"never_smoker",5,7,NA,9,1,0,2,NA,NA,60,1,1,3.33333333333333,84,84,84,2,7,NA,9,1,0,2,2,NA,NA,1,3,60,1,3,NA,"0",2,2,4,-1
59,2,5,"never_smoker",11,4,1,9,1,0,12,NA,NA,27,1,2,40,59,59,59,2,4,1,9,1,0,12,12,NA,NA,2,40,27,2,2,NA,"0",1,1,7,1
59,1,5,"smoker",11,3,2,9,1,NA,11,NA,NA,130,1,1,2.42857142857143,59,59,59,1,3,2,9,1,NA,11,11,NA,NA,1,2,130,1,4,NA,"0",2,1,6,1
25,1,5,"never_smoker",17,1,1,9,1,NA,8,NA,NA,80,1,2,28.5714285714286,25,25,25,1,1,1,9,1,NA,8,8,NA,NA,1,28,80,2,3,NA,"0",2,2,2,1
57,2,1,"never_smoker",11,3,3,3,1,0,9,NA,NA,210,1,1,24,57,57,57,2,3,3,3,1,0,9,9,NA,NA,1,24,210,1,1,NA,"0",2,1,1,2
30,1,1,"never_smoker",17,1,1,3,2,NA,7,NA,NA,46,1,2,45,30,30,30,1,1,1,3,2,NA,7,7,NA,NA,1,45,46,2,6,NA,"0",2,2,3,1
30,2,1,"never_smoker",17,1,1,3,2,NA,7,NA,NA,18,1,1,100,30,30,30,2,1,1,3,2,NA,7,7,NA,NA,1,100,18,1,4,NA,"0",2,2,2,1
43,1,4,"never_smoker",13,3,1,3,2,NA,9,NA,NA,120,2,2,0,43,43,43,1,3,1,3,2,NA,9,9,NA,NA,1,0,120,2,3,NA,"1",1,2,20,1
65,1,4,"smoker",9,6,1,3,1,0,5,NA,NA,63,2,1,13.3333333333333,65,65,65,1,6,1,3,1,0,5,5,NA,NA,2,13,63,1,1,NA,"1",1,1,20,1
36,2,1,"never_smoker",15,1,1,3,2,NA,6,NA,NA,56,1,1,2.57142857142857,36,36,36,2,1,1,3,2,NA,6,6,NA,NA,1,2,56,1,5,NA,"1",2,2,52,-1
51,1,1,"never_smoker",13,1,1,3,2,NA,5,NA,NA,31,1,2,0.2,51,51,51,1,1,1,3,2,NA,5,5,NA,NA,2,0,31,2,4,NA,"1",1,1,8,2
21,1,1,"smoker",19,4,3,3,2,NA,5,NA,NA,52,1,2,60,21,21,21,1,4,3,3,2,NA,5,5,NA,NA,1,60,52,2,4,NA,"1",1,2,4,2
66,2,4,"never_smoker",9,6,3,3,1,NA,5,NA,NA,16,1,1,28,66,66,66,2,6,3,3,1,NA,5,5,NA,NA,2,28,16,1,3,NA,"1",1,2,20,2
76,1,4,"never_smoker",7,7,3,3,1,0,5,NA,NA,63,1,2,80,76,76,76,1,7,3,3,1,0,5,5,NA,NA,2,80,63,2,6,NA,"0",1,1,1,1
27,2,3,"never_smoker",17,1,1,3,4,NA,10,NA,NA,3,1,2,0.0666666666666667,27,27,27,2,1,1,3,4,NA,10,10,NA,NA,2,0,3,2,4,NA,"1",2,1,9,2
50,1,5,"never_smoker",13,1,1,3,1,NA,5,NA,NA,38,2,2,0.714285714285714,50,50,50,1,1,1,3,1,NA,5,5,NA,NA,1,0,38,2,2,NA,"1",1,2,5,2
36,1,5,"smoker",15,1,1,3,2,0,1,NA,NA,23,1,2,25,36,36,36,1,1,1,3,2,0,1,1,NA,NA,2,25,23,2,3,NA,"1",1,2,6,1
33,2,5,"never_smoker",15,1,99,3,2,0,1,NA,NA,13,1,1,2.42857142857143,33,33,33,2,1,99,3,2,0,1,1,NA,NA,2,2,13,1,1,NA,"0",1,2,52,2
26,1,5,"never_smoker",17,7,3,3,4,NA,5,NA,NA,29,2,1,0.142857142857143,26,26,26,1,7,3,3,4,NA,5,5,NA,NA,1,0,29,1,6,NA,"0",2,2,10,-1
24,2,5,"smoker",17,7,2,3,4,NA,4,NA,NA,31,1,2,28.5714285714286,24,24,24,2,7,2,3,4,NA,4,4,NA,NA,2,28,31,2,6,NA,"1",1,2,9,2
27,1,5,"never_smoker",17,7,3,3,5,NA,1,NA,NA,56,1,2,17.8571428571429,27,27,27,1,7,3,3,5,NA,1,1,NA,NA,1,17,56,2,6,NA,"0",2,1,12,2
25,2,5,"smoker",17,2,3,3,4,1,2,NA,NA,17,2,2,10.7142857142857,25,25,25,2,2,3,3,4,1,2,2,NA,NA,2,10,17,2,5,NA,"0",1,2,5,2
34,2,5,"smoker",15,3,2,6,1,NA,1,NA,NA,18,1,2,0.857142857142857,34,34,34,2,3,2,6,1,NA,1,1,NA,NA,1,0,18,2,6,NA,"0",1,1,1,2
31,1,5,"never_smoker",17,1,1,6,3,NA,6,NA,NA,36,2,1,11,31,31,31,1,1,1,6,3,NA,6,6,NA,NA,1,11,36,1,4,NA,"1",2,1,6,1
25,2,5,"never_smoker",17,3,3,6,1,NA,1,NA,NA,9998,1,1,4.28571428571429,25,25,25,2,3,3,6,1,NA,1,1,NA,NA,1,4,9998,1,2,NA,"1",1,2,4,-1
23,2,5,"never_smoker",17,7,99,6,1,NA,1,NA,NA,120,1,2,2,23,23,23,2,7,99,6,1,NA,1,1,NA,NA,1,2,120,2,4,NA,"1",1,1,5,2
19,1,5,"smoker",19,4,3,6,2,NA,1,NA,NA,17,2,2,4,19,19,19,1,4,3,6,2,NA,1,1,NA,NA,1,4,17,2,2,NA,"0",1,1,6,2
42,2,5,"never_smoker",14,4,2,6,2,NA,1,NA,NA,130,1,1,0.571428571428571,42,42,42,2,4,2,6,2,NA,1,1,NA,NA,1,0,130,1,4,NA,"0",1,1,3,-1
45,2,4,"never_smoker",13,1,1,6,4,0,5,NA,NA,22,2,2,0.857142857142857,45,45,45,2,1,1,6,4,0,5,5,NA,NA,1,0,22,2,6,NA,"0",1,2,5,2
43,1,4,"never_smoker",13,1,1,6,4,0,6,NA,NA,56,1,2,25,43,43,43,1,1,1,6,4,0,6,6,NA,NA,1,25,56,2,2,NA,"0",1,2,20,1
55,1,5,"smoker",11,7,2,6,1,NA,4,NA,NA,54,2,2,1.42857142857143,55,55,55,1,7,2,6,1,NA,4,4,NA,NA,1,1,54,2,6,NA,"0",2,1,10,1
30,1,5,"smoker",17,7,3,6,4,NA,2,NA,NA,105,2,1,3,30,30,30,1,7,3,6,4,NA,2,2,NA,NA,1,3,105,1,6,NA,"0",1,1,5,-1
32,2,5,"smoker",16,4,3,6,4,NA,3,NA,NA,48,2,1,0.2,32,32,32,2,4,3,6,4,NA,3,3,NA,NA,2,0,48,1,1,NA,"0",1,1,3,1
64,1,4,"smoker",9,1,2,6,4,0,NA,NA,NA,37,2,1,11.4285714285714,64,64,64,1,1,2,6,4,0,NA,NA,NA,NA,1,11,37,1,2,NA,"1",1,1,0,-1
45,2,2,"smoker",13,4,1,7,2,NA,4,NA,NA,17,2,1,50,45,45,45,2,4,1,7,2,NA,4,4,NA,NA,1,50,17,1,2,NA,"0",1,2,8,-1
33,1,3,"never_smoker",15,1,1,7,2,NA,5,NA,NA,8,2,2,60,33,33,33,1,1,1,7,2,NA,5,5,NA,NA,1,60,8,2,3,NA,"0",1,1,8,1
35,1,3,"never_smoker",15,1,1,7,2,NA,5,NA,NA,45,2,2,2.28571428571429,35,35,35,1,1,1,7,2,NA,5,5,NA,NA,1,2,45,2,2,NA,"1",2,2,1,1
73,2,2,"never_smoker",7,7,2,7,1,0,5,NA,NA,15,1,2,0,73,73,73,2,7,2,7,1,0,5,5,NA,NA,1,0,15,2,3,NA,"1",1,2,0,-1
73,1,2,"never_smoker",7,7,2,7,1,NA,5,NA,NA,200,2,2,21.4285714285714,73,73,73,1,7,2,7,1,NA,5,5,NA,NA,1,21,200,2,2,NA,"0",1,1,52,1
38,1,3,"smoker",15,1,1,7,4,NA,2,NA,NA,13,1,1,0.2,38,38,38,1,1,1,7,4,NA,2,2,NA,NA,1,0,13,1,4,NA,"1",1,2,1,2
47,2,2,"never_smoker",13,3,1,7,2,NA,4,NA,NA,8,2,1,2.14285714285714,47,47,47,2,3,1,7,2,NA,4,4,NA,NA,2,2,8,1,1,NA,"0",2,1,10,-1
69,1,3,"never_smoker",9,7,2,7,1,0,2,NA,NA,34,2,2,2.57142857142857,69,69,69,1,7,2,7,1,0,2,2,NA,NA,1,2,34,2,6,NA,"0",1,1,6,2
67,2,3,"never_smoker",9,7,2,7,1,0,1,NA,NA,4,1,1,2,67,67,67,2,7,2,7,1,0,1,1,NA,NA,1,2,4,1,3,NA,"1",2,1,52,1
28,1,3,"never_smoker",17,1,2,7,1,NA,4,NA,NA,90,2,2,1,28,28,28,1,1,2,7,1,NA,4,4,NA,NA,2,1,90,2,5,NA,"1",2,2,52,1
45,2,4,"smoker",13,4,3,2,4,NA,6,NA,NA,25,2,1,60,45,45,45,2,4,3,2,4,NA,6,6,NA,NA,2,60,25,1,2,NA,"1",1,1,20,-1
22,2,4,"smoker",18,3,3,2,4,NA,6,NA,NA,10,1,2,0.428571428571429,22,22,22,2,3,3,2,4,NA,6,6,NA,NA,1,0,10,2,6,NA,"0",1,1,10,1
22,1,4,"smoker",18,4,3,2,4,NA,5,NA,NA,28,1,1,12.8571428571429,22,22,22,1,4,3,2,4,NA,5,5,NA,NA,1,12,28,1,5,NA,"0",2,2,12,-1
25,1,5,"smoker",17,4,3,2,4,NA,5,NA,NA,55,2,1,17,25,25,25,1,4,3,2,4,NA,5,5,NA,NA,2,17,55,1,2,NA,"1",1,2,5,2
43,1,2,"never_smoker",13,3,1,2,2,NA,5,NA,NA,48,2,1,11,43,43,43,1,3,1,2,2,NA,5,5,NA,NA,2,11,48,1,3,NA,"0",2,2,5,2
39,2,2,"smoker",15,1,2,2,2,0,5,NA,NA,15,1,1,3.57142857142857,39,39,39,2,1,2,2,2,0,5,5,NA,NA,1,3,15,1,6,NA,"0",1,2,52,-1
40,1,3,"never_smoker",15,2,2,2,1,NA,4,NA,NA,46,1,1,25,40,40,40,1,2,2,2,1,NA,4,4,NA,NA,2,25,46,1,4,NA,"0",1,2,12,2
30,2,4,"never_smoker",17,1,1,2,2,NA,3,NA,NA,30,1,2,39,30,30,30,2,1,1,2,2,NA,3,3,NA,NA,2,39,30,2,3,NA,"0",2,2,20,1
41,1,4,"never_smoker",15,3,1,2,2,NA,8,NA,NA,23,2,2,24,41,41,41,1,3,1,2,2,NA,8,8,NA,NA,2,24,23,2,5,NA,"1",2,2,1,1
46,1,5,"never_smoker",13,3,1,2,2,NA,5,NA,NA,65,2,2,40,46,46,46,1,3,1,2,2,NA,5,5,NA,NA,2,40,65,2,4,NA,"1",1,1,20,-1
28,1,2,"never_smoker",17,1,1,2,1,NA,5,NA,NA,50,1,2,17.8571428571429,28,28,28,1,1,1,2,1,NA,5,5,NA,NA,2,17,50,2,6,NA,"0",2,1,4,1
26,2,2,"never_smoker",17,1,3,2,1,0,5,NA,NA,-1,2,1,12.8571428571429,26,26,26,2,1,3,2,1,0,5,5,NA,NA,1,12,-1,1,3,NA,"1",1,1,3,-1
54,1,3,"never_smoker",11,4,3,2,1,0,5,NA,NA,55,2,1,35,54,54,54,1,4,3,2,1,0,5,5,NA,NA,2,35,55,1,6,NA,"1",1,1,4,2
51,2,3,"never_smoker",13,7,3,2,1,NA,2,NA,NA,26,1,1,57.1428571428571,51,51,51,2,7,3,2,1,NA,2,2,NA,NA,1,57,26,1,5,NA,"1",2,2,10,1
26,1,3,"never_smoker",17,3,1,2,1,NA,7,NA,NA,37,1,1,1.71428571428571,26,26,26,1,3,1,2,1,NA,7,7,NA,NA,1,1,37,1,6,NA,"0",2,2,12,-1
35,2,5,"smoker",15,7,3,2,2,NA,5,NA,NA,28,1,2,23,35,35,35,2,7,3,2,2,NA,5,5,NA,NA,1,23,28,2,6,NA,"0",1,1,5,2
26,1,2,"smoker",17,7,3,2,4,NA,5,NA,NA,10,1,2,0.571428571428571,26,26,26,1,7,3,2,4,NA,5,5,NA,NA,2,0,10,2,3,NA,"0",2,1,2,1
44,1,2,"smoker",13,4,1,2,4,NA,5,NA,NA,31,1,1,21.4285714285714,44,44,44,1,4,1,2,4,NA,5,5,NA,NA,1,21,31,1,4,NA,"0",2,2,10,-1
31,2,2,"smoker",17,4,3,2,4,NA,4,NA,NA,78,2,1,33,31,31,31,2,4,3,2,4,NA,4,4,NA,NA,1,33,78,1,2,NA,"0",1,1,3,1
40,2,4,"never_smoker",15,4,2,1,2,0,5,NA,NA,84,1,1,39,40,40,40,2,4,2,1,2,0,5,5,NA,NA,1,39,84,1,6,NA,"0",2,1,4,1
40,1,4,"never_smoker",15,2,3,1,2,NA,5,NA,NA,4,2,2,0.285714285714286,40,40,40,1,2,3,1,2,NA,5,5,NA,NA,1,0,4,2,6,NA,"0",1,2,4,1
83,1,3,"never_smoker",5,7,2,1,5,0,10,NA,NA,77,1,1,24,83,83,83,1,7,2,1,5,0,10,10,NA,NA,2,24,77,1,6,NA,"0",1,2,6,1
41,2,2,"never_smoker",15,1,1,1,2,NA,6,NA,NA,84,1,1,30,41,41,41,2,1,1,1,2,NA,6,6,NA,NA,2,30,84,1,5,NA,"1",1,1,8,1
70,2,4,"never_smoker",9,7,3,1,1,0,5,NA,NA,44,1,1,9,70,70,70,2,7,3,1,1,0,5,5,NA,NA,2,9,44,1,3,NA,"0",1,1,2,1
50,1,3,"smoker",13,2,3,4,4,NA,4,NA,NA,54,2,1,8,50,50,50,1,2,3,4,4,NA,4,4,NA,NA,1,8,54,1,2,NA,"0",1,1,20,-1
41,1,1,"never_smoker",15,3,3,4,1,0,9,NA,NA,46,2,1,25,41,41,41,1,3,3,4,1,0,9,9,NA,NA,1,25,46,1,4,NA,"0",2,1,2,-1
85,2,2,"never_smoker",5,7,2,4,1,0,1,NA,NA,34,1,2,28.5714285714286,85,85,85,2,7,2,4,1,0,1,1,NA,NA,1,28,34,2,1,NA,"1",1,2,8,2
47,2,1,"smoker",13,7,3,4,2,NA,1,NA,NA,3,1,1,57.1428571428571,47,47,47,2,7,3,4,2,NA,1,1,NA,NA,2,57,3,1,2,NA,"1",1,1,1,-1
67,1,2,"smoker",9,7,1,4,1,0,11,NA,NA,35,1,2,18.5714285714286,67,67,67,1,7,1,4,1,0,11,11,NA,NA,1,18,35,2,1,NA,"1",2,1,4,-1
44,2,1,"never_smoker",13,3,2,4,1,0,5,NA,NA,175,2,2,24,44,44,44,2,3,2,4,1,0,5,5,NA,NA,2,24,175,2,1,NA,"0",1,1,52,2
46,2,1,"never_smoker",13,4,1,4,2,NA,NA,NA,NA,60,1,1,57.1428571428571,46,46,46,2,4,1,4,2,NA,NA,NA,NA,NA,1,57,60,1,1,NA,"0",1,1,12,1
48,1,5,"never_smoker",13,1,1,1,1,0,10,NA,NA,54,2,1,14.2857142857143,48,48,48,1,1,1,1,1,0,10,10,NA,NA,1,14,54,1,5,NA,"0",2,2,0,1
56,2,5,"smoker",11,3,1,1,1,NA,5,NA,NA,77,2,2,8,56,56,56,2,3,1,1,1,NA,5,5,NA,NA,1,8,77,2,6,NA,"0",1,1,10,2
31,2,5,"smoker",17,4,2,1,1,NA,3,NA,NA,26,1,1,57.1428571428571,31,31,31,2,4,2,1,1,NA,3,3,NA,NA,2,57,26,1,3,NA,"1",1,2,7,2
23,1,5,"smoker",17,3,99,1,4,NA,10,NA,NA,140,2,2,25,23,23,23,1,3,99,1,4,NA,10,10,NA,NA,1,25,140,2,6,NA,"0",2,1,10,1
23,2,5,"never_smoker",17,1,1,1,2,0,1,NA,NA,84,1,2,20,23,23,23,2,1,1,1,2,0,1,1,NA,NA,1,20,84,2,5,NA,"0",2,1,0,-1
61,2,5,"smoker",11,7,3,1,5,0,4,NA,NA,48,1,1,0.2,61,61,61,2,7,3,1,5,0,4,4,NA,NA,2,0,48,1,5,NA,"0",2,1,3,1
75,2,5,"smoker",7,7,3,1,4,0,9,NA,NA,130,2,2,15,75,75,75,2,7,3,1,4,0,9,9,NA,NA,1,15,130,2,2,NA,"1",1,1,6,1
52,2,5,"smoker",12,4,1,1,2,0,4,NA,NA,23,1,1,25,52,52,52,2,4,1,1,2,0,4,4,NA,NA,2,25,23,1,3,NA,"0",1,1,7,2
58,1,5,"never_smoker",11,5,3,1,2,NA,4,NA,NA,175,2,1,1.42857142857143,58,58,58,1,5,3,1,2,NA,4,4,NA,NA,2,1,175,1,6,NA,"0",1,2,12,2
65,2,5,"never_smoker",9,1,1,7,4,0,4,NA,NA,96,2,2,0.0666666666666667,65,65,65,2,1,1,7,4,0,4,4,NA,NA,2,0,96,2,4,NA,"1",1,2,52,-1
19,2,5,"never_smoker",19,4,3,7,4,NA,5,NA,NA,13,2,1,3.57142857142857,19,19,19,2,4,3,7,4,NA,5,5,NA,NA,2,3,13,1,1,NA,"0",2,2,20,1
33,1,4,"never_smoker",15,3,NA,7,4,NA,1,NA,NA,16,1,2,12,33,33,33,1,3,NA,7,4,NA,1,1,NA,NA,1,12,16,2,5,NA,"0",2,2,5,1
32,2,3,"never_smoker",16,1,1,7,4,1,6,NA,NA,72,2,1,3.33333333333333,32,32,32,2,1,1,7,4,1,6,6,NA,NA,2,3,72,1,3,NA,"0",1,1,20,1
43,2,4,"smoker",13,4,2,7,4,NA,8,NA,NA,86,2,1,12,43,43,43,2,4,2,7,4,NA,8,8,NA,NA,1,12,86,1,4,NA,"1",1,1,3,1
45,1,4,"smoker",13,4,3,7,4,NA,7,NA,NA,19,1,1,3.57142857142857,45,45,45,1,4,3,7,4,NA,7,7,NA,NA,1,3,19,1,6,NA,"1",1,2,8,1
43,2,5,"never_smoker",13,1,1,7,2,NA,5,NA,NA,38,2,2,1.14285714285714,43,43,43,2,1,1,7,2,NA,5,5,NA,NA,1,1,38,2,6,NA,"1",1,1,4,1
45,2,3,"smoker",13,7,3,7,4,NA,4,NA,NA,2,2,2,8.57142857142857,45,45,45,2,7,3,7,4,NA,4,4,NA,NA,1,8,2,2,2,NA,"0",1,1,10,1
58,1,4,"never_smoker",11,7,3,6,4,0,6,NA,NA,43,1,2,25,58,58,58,1,7,3,6,4,0,6,6,NA,NA,2,25,43,2,5,NA,"1",2,2,52,-1
28,2,4,"never_smoker",17,4,1,6,2,NA,5,NA,NA,38,2,1,18.5714285714286,28,28,28,2,4,1,6,2,NA,5,5,NA,NA,1,18,38,1,1,NA,"1",2,2,7,2
30,1,4,"never_smoker",17,3,3,6,2,NA,5,NA,NA,6,1,1,22,30,30,30,1,3,3,6,2,NA,5,5,NA,NA,2,22,6,1,3,NA,"1",2,1,20,-1
52,2,4,"never_smoker",12,7,2,6,2,NA,8,NA,NA,3,1,1,14.2857142857143,52,52,52,2,7,2,6,2,NA,8,8,NA,NA,2,14,3,1,1,NA,"1",1,1,12,-1
87,2,4,"never_smoker",5,7,3,6,2,0,1,NA,NA,36,2,1,33,87,87,87,2,7,3,6,2,0,1,1,NA,NA,2,33,36,1,5,NA,"0",2,2,6,2
80,2,4,"never_smoker",7,7,1,6,1,0,4,NA,NA,38,1,2,19,80,80,80,2,7,1,6,1,0,4,4,NA,NA,1,19,38,2,5,NA,"0",2,1,7,1
26,2,4,"smoker",17,4,2,6,2,NA,8,NA,NA,9,1,2,28,26,26,26,2,4,2,6,2,NA,8,8,NA,NA,1,28,9,2,2,NA,"0",1,1,3,2
24,1,4,"smoker",17,7,2,6,2,NA,5,NA,NA,175,2,2,4.28571428571429,24,24,24,1,7,2,6,2,NA,5,5,NA,NA,1,4,175,2,6,NA,"0",1,1,3,-1
82,2,4,"never_smoker",6,7,NA,6,4,0,1,NA,NA,77,1,1,2.42857142857143,82,82,82,2,7,NA,6,4,0,1,1,NA,NA,1,2,77,1,1,NA,"1",1,2,7,1
48,1,4,"never_smoker",13,7,2,6,4,1,9,NA,NA,41,1,2,40,48,48,48,1,7,2,6,4,1,9,9,NA,NA,1,40,41,2,1,NA,"1",1,2,6,1
75,2,4,"never_smoker",7,7,2,6,1,0,5,NA,NA,19,1,2,17.1428571428571,75,75,75,2,7,2,6,1,0,5,5,NA,NA,1,17,19,2,2,NA,"0",1,2,52,1
51,2,4,"never_smoker",13,5,2,6,4,1,9,NA,NA,5,2,2,45,51,51,51,2,5,2,6,4,1,9,9,NA,NA,1,45,5,2,3,NA,"0",2,2,6,2
49,2,4,"smoker",13,2,1,6,4,NA,4,NA,NA,57,2,1,45,49,49,49,2,2,1,6,4,NA,4,4,NA,NA,2,45,57,1,4,NA,"1",1,1,12,2
48,1,4,"never_smoker",13,7,3,6,4,NA,5,NA,NA,77,2,1,33,48,48,48,1,7,3,6,4,NA,5,5,NA,NA,2,33,77,1,4,NA,"1",1,2,1,2
17,1,4,"never_smoker",19,4,99,6,4,0,5,NA,NA,57,1,2,6.71428571428571,17,17,17,1,4,99,6,4,0,5,5,NA,NA,2,6,57,2,6,NA,"1",1,2,2,-1
53,1,4,"never_smoker",11,3,3,6,4,NA,4,NA,NA,27,2,1,28,53,53,53,1,3,3,6,4,NA,4,4,NA,NA,2,28,27,1,5,NA,"1",2,1,12,1
58,2,4,"never_smoker",11,5,99,6,4,1,1,NA,NA,12,2,1,2.14285714285714,58,58,58,2,5,99,6,4,1,1,1,NA,NA,1,2,12,1,6,NA,"0",2,1,2,1
30,2,5,"never_smoker",17,1,1,3,4,NA,1,NA,NA,29,1,1,25,30,30,30,2,1,1,3,4,NA,1,1,NA,NA,1,25,29,1,2,NA,"1",1,2,5,1
34,1,5,"smoker",15,1,1,3,4,NA,1,NA,NA,13,2,2,14,34,34,34,1,1,1,3,4,NA,1,1,NA,NA,2,14,13,2,2,NA,"1",1,2,10,1
26,2,5,"never_smoker",17,1,1,3,4,NA,1,NA,NA,4,2,2,1.42857142857143,26,26,26,2,1,1,3,4,NA,1,1,NA,NA,1,1,4,2,5,NA,"0",1,2,52,-1
22,2,4,"never_smoker",18,1,3,3,4,NA,7,NA,NA,49,1,2,19,22,22,22,2,1,3,3,4,NA,7,7,NA,NA,2,19,49,2,6,NA,"0",1,1,5,1
44,2,5,"never_smoker",13,NA,NA,3,4,0,1,NA,NA,65,2,2,22.8571428571429,44,44,44,2,NA,NA,3,4,0,1,1,NA,NA,1,22,65,2,1,NA,"0",2,2,8,2
30,2,4,"smoker",17,1,1,3,4,NA,6,NA,NA,36,1,2,0.428571428571429,30,30,30,2,1,1,3,4,NA,6,6,NA,NA,1,0,36,2,2,NA,"0",1,1,20,2
20,1,5,"never_smoker",19,7,99,3,4,NA,1,NA,NA,38,2,2,3.33333333333333,20,20,20,1,7,99,3,4,NA,1,1,NA,NA,1,3,38,2,5,NA,"1",1,2,6,-1
26,2,4,"smoker",17,1,1,3,4,NA,8,NA,NA,5,2,2,10,26,26,26,2,1,1,3,4,NA,8,8,NA,NA,1,10,5,2,5,NA,"1",2,1,1,-1
73,1,1,"never_smoker",7,3,1,6,1,0,5,NA,NA,140,2,1,55,73,73,73,1,3,1,6,1,0,5,5,NA,NA,1,55,140,1,5,NA,"0",1,1,10,-1
